Latitude,Longitude,month,year,Magnitude
38.1, 23.3, February, 1964, 4.7
38.0, 23.6, July, 1964, 6.0
37.99, 23.89, March, 1966, 4.6
37.89, 23.4342, March, 1972, 4.5
38.1656, 23.2294, February, 1980, 4.7
38.1376, 23.2674, February, 1981, 4.5
38.1597, 23.2547, February, 1981, 4.6
38.1511, 23.2733, February, 1981, 4.5
38.1668, 23.2736, February, 1981, 4.9
38.2299, 23.3494, March, 1981, 4.6
38.0999, 23.2187, March, 1981, 4.5
38.1864, 23.3048, March, 1981, 4.5
38.1565, 23.3362, March, 1981, 4.5
38.2431, 23.3314, March, 1981, 4.5
38.1757, 23.2552, March, 1981, 4.6
38.1509, 23.2495, March, 1981, 4.7
38.1393, 23.1936, March, 1981, 4.7
38.1691, 23.2931, March, 1981, 4.6
38.1712, 23.2125, March, 1981, 4.5
38.2677, 23.3821, March, 1981, 4.5
38.2047, 23.3399, March, 1981, 4.6
38.238, 23.3476, March, 1981, 4.7
38.1828, 23.3265, March, 1981, 4.7
38.1338, 23.4601, April, 1981, 4.5
38.1763, 23.2992, May, 1981, 4.6
38.1372, 23.2538, May, 1981, 4.6
38.0533, 23.1767, June, 1981, 4.5
38.1497, 23.2701, June, 1981, 4.5
37.524, 23.3203, December, 1981, 4.5
38.0826, 23.2298, July, 1982, 4.6
38.1121, 23.2272, August, 1983, 4.7
37.9824, 23.2713, October, 1983, 4.7
38.1584, 23.2218, May, 1986, 4.8
38.1239, 23.2231, September, 1988, 4.8
38.062, 23.537, September, 1999, 6.0
38.134, 23.762, September, 1999, 4.8
38.181, 23.758, September, 1999, 4.6
38.126, 23.649, September, 1999, 4.6
37.955, 23.993, September, 1999, 4.6
38.033, 23.645, September, 1999, 4.6
38.124, 23.607, September, 1999, 4.5
38.124, 23.617, September, 1999, 4.5
38.096, 23.525, September, 1999, 4.5
38.04, 23.69, September, 1999, 4.7
38.09, 23.653, September, 1999, 4.9
38.098, 23.609, September, 1999, 4.6
38.137, 23.651, September, 1999, 4.6
38.091, 23.253, October, 1999, 4.8
38.119, 23.229, October, 2001, 4.8
38.094, 23.609, November, 2001, 4.5
36.3272, 22.9523, May, 2003, 4.6
38.12, 23.55, June, 2009, 4.6
38.1132, 23.2852, September, 2009, 4.6
38.05, 23.22, November, 2009, 5.4
37.8, 23.87, November, 2009, 4.8
